grade,check_major,subject_number,subject_name,credit,professor,time,universe,department,,people
1,전공,51097-01,CAU세미나(2),0.5,이종철,화10,경영경제대학,경제학부(서울),,
1,전공,51097-02,CAU세미나(2),0.5,이정희,월10,경영경제대학,경제학부(서울),,
1,전공,51097-03,CAU세미나(2),0.5,김정인,월10,경영경제대학,경제학부(서울),,
1,전공,51097-04,CAU세미나(2),0.5,김지욱,수10,경영경제대학,경제학부(서울),,
1,전공,51097-05,CAU세미나(2),0.5,이한영,목10,경영경제대학,경제학부(서울),,
1,전공,51097-06,CAU세미나(2),0.5,진현정,월10,경영경제대학,경제학부(서울),,
1,전공,51097-07,CAU세미나(2),0.5,강창희,수10,경영경제대학,경제학부(서울),,
1,전공,51097-08,CAU세미나(2),0.5,서상원,수10,경영경제대학,경제학부(서울),,
1,전공,51097-09,CAU세미나(2),0.5,고선,월10,경영경제대학,경제학부(서울),,
1,전공,51097-10,CAU세미나(2),0.5,박성용,목10,경영경제대학,경제학부(서울),,
1,전공,01498-01,경제학개론(1),3,강상구,"금1,2,3",경영경제대학,경제학부(서울),,
1,전공,01498-02,경제학개론(1),3,강상구,"금7,8,9",경영경제대학,경제학부(서울),,
1,전공,01499-01,경제학개론(2),3,이종철,화(10:30~11:45) / 목(10:30~11:45),경영경제대학,경제학부(서울),,
1,전공,01499-02,경제학개론(2),3,이한영,화(09:00~10:15) / 목(09:00~10:15),경영경제대학,경제학부(서울),,
1,전공,01499-04,경제학개론(2),3,김태진,"월7,8,9",경영경제대학,경제학부(서울),,
1,전공,01499-03,경제학개론(2)(영어A강의),3,정혁,"목1,2,3",경영경제대학,경제학부(서울),,
2,전공,00736-01,거시경제학,3,허식,월(15:00~16:15) / 수(15:00~16:15),경영경제대학,경제학부(서울),,
2,전공,00736-02,거시경제학,3,김지욱,월(10:30~11:45) / 수(10:30~11:45),경영경제대학,경제학부(서울),,
2,전공,00736-04,거시경제학,3,김배근,화(15:00~16:15) / 목(15:00~16:15),경영경제대학,경제학부(서울),,
2,전공,00736-03,거시경제학(영어A강의),3,송원호,화(09:00~10:15) / 목(09:00~10:15),경영경제대학,경제학부(서울),,
2,전공,01478-01,경제통계학,3,강창희,화(10:30~11:45) / 목(10:30~11:45),경영경제대학,경제학부(서울),,
2,전공,01478-02,경제통계학(영어A강의),3,최용옥,월(09:00~10:15) / 수(09:00~10:15),경영경제대학,경제학부(서울),,
2,전공,01478-03,경제통계학(영어A강의),3,최용옥,월(13:30~14:45) / 수(13:30~14:45),경영경제대학,경제학부(서울),,
2,전공,11787-01,수리경제학,3,안일태,월(15:00~16:15) / 수(15:00~16:15),경영경제대학,경제학부(서울),,
2,전공,11787-02,수리경제학,3,이수련,월(12:00~13:15) / 수(12:00~13:15),경영경제대학,경제학부(서울),,
3,전공,01375-01,경제발전론,3,김정인,"목4,5,6",경영경제대학,경제학부(서울),,
3,전공,01375-02,경제발전론,3,김정인,"금4,5,6",경영경제대학,경제학부(서울),,
3,전공,01375-03,경제발전론,3,김지욱,월(15:00~16:15) / 수(15:00~16:15),경영경제대학,경제학부(서울),,
3,전공,03845-01,국제금융론,3,이종철,화(15:00~16:15) / 목(15:00~16:15),경영경제대학,경제학부(서울),,
3,전공,03845-02,국제금융론,3,이한영,화(16:30~17:45) / 목(16:30~17:45),경영경제대학,경제학부(서울),,
3,전공,10235-01,산업조직론,3,안일태,화(15:00~16:15) / 목(15:00~16:15),경영경제대학,경제학부(서울),,
3,전공,10235-02,산업조직론,3,안일태,화(09:00~10:15) / 목(09:00~10:15),경영경제대학,경제학부(서울),,
3,전공,10235-03,산업조직론,3,김태진,"금7,8,9",경영경제대학,경제학부(서울),,
3,전공,54461-01,응용계량경제학,3,이광훈,월(10:30~11:45) / 수(10:30~11:45),경영경제대학,경제학부(서울),,
3,전공,54461-02,응용계량경제학,3,진현정,화(10:30~11:45) / 목(10:30~11:45),경영경제대학,경제학부(서울),,
3,전공,24658-01,화폐금융론,3,류덕현,"수7,8,9",경영경제대학,경제학부(서울),,
3,전공,24658-02,화폐금융론,3,송원호,월(09:00~10:15) / 수(09:00~10:15),경영경제대학,경제학부(서울),,
3,전공,24658-03,화폐금융론,3,서상원,화(13:30~14:45) / 목(13:30~14:45),경영경제대학,경제학부(서울),,
4,전공,01452-01,경제정책론(영어A강의),3,고선,월(12:00~13:15) / 수(12:00~13:15),경영경제대학,경제학부(서울),,
4,전공,01452-02,경제정책론(영어A강의),3,이수련,월(16:30~17:45) / 수(16:30~17:45),경영경제대학,경제학부(서울),,
4,전공,01545-01,경제학특강,3,진현정,월(15:00~16:15) / 수(15:00~16:15),경영경제대학,경제학부(서울),,
4,전공,51442-01,유통서비스경제론,3,이정희,화(10:30~11:45) / 목(10:30~11:45),경영경제대학,경제학부(서울),,
4,전공,51442-02,유통서비스경제론,3,,"수7,8,9",경영경제대학,경제학부(서울),,
4,전공,48085-01,투자와 위험관리,3,서상원,화(15:00~16:15) / 목(15:00~16:15),경영경제대학,경제학부(서울),,
4,전공,38944-01,파생금융상품론,3,서상원,화(10:30~11:45) / 목(10:30~11:45),경영경제대학,경제학부(서울),,
4,전공,38944-02,파생금융상품론,3,어지원,"금7,8,9",경영경제대학,경제학부(서울),,
공통,전공,53337-02,경영경제데이터분석 소프트웨어,3,최명길,화(13:30~14:45) / 목(13:30~14:45),경영경제대학,경영학전공/경제학부(서울),,
공통,전공,53337-04,경영경제데이터분석 소프트웨어,3,남호헌,"화1,2,3",경영경제대학,경영학전공/경제학부(서울),,
공통,전공,53337-05,경영경제데이터분석 소프트웨어,3,신종섭,"금4,5,6",경영경제대학,경영학전공/경제학부(서울),,
공통,전공,53337-06,경영경제데이터분석 소프트웨어,3,김정훈,"목7,8,9",경영경제대학,경영학전공/경제학부(서울),,
공통,전공,53337-07,경영경제데이터분석 소프트웨어,3,서동욱,"수4,5,6",경영경제대학,경영학전공/경제학부(서울),,
공통,전공,53337-08,경영경제데이터분석 소프트웨어,3,서동욱,"수7,8,9",경영경제대학,경영학전공/경제학부(서울),,
공통,전공,53337-09,경영경제데이터분석 소프트웨어,3,배진,"수4,5,6",경영경제대학,경영학전공/경제학부(서울),,
공통,전공,53337-10,경영경제데이터분석 소프트웨어,3,배진,"수7,8,9",경영경제대학,경영학전공/경제학부(서울),,
공통,전공,53337-11,경영경제데이터분석 소프트웨어,3,이덕희,"화7,8,9",경영경제대학,경영학전공/경제학부(서울),,
공통,전공,53337-01,경영경제데이터분석 소프트웨어(영어A강의),3,최명길,화(10:30~11:45) / 목(10:30~11:45),경영경제대학,경영학전공/경제학부(서울),,
공통,전공,53346-01,경제분석을 위한 R 프로그래밍,3,박성용,화(09:00~10:15) / 목(09:00~10:15),경영경제대학,경제학부(서울),,
